gene_symbol,entrez_id
AC099797.1,731220
AC100756.1,283685
AC100775.1,284257
AC100793.2,100190938
AC100793.3,388387
AC100803.1,389690
AC103540.1,728175
AC103965.1,388152
AC104665.1,388931
AC104819.1,345062
AC105206.1,9796
AC105337.1,100652929
AC105391.2,54848
AC106037.2,6632
AC106739.1,400512
AC106818.2,441094
AC107212.1,646603
AC107883.1,79834
AC107983.3,220594
AC108134.5,197350
AC108938.1,100288570
AC109486.1,25859
AC110619.2,100130449
AC110754.1,9687
AC110760.2,25849
AC110814.1,27065
AC112641.2,401097
AC113191.1,84197
AC114273.1,148231
AC114947.2,167359
AC115090.1,80725
AC116165.2,283767
AC116334.1,408187
AC116655.15,728373
AC117392.3,389170
AC117460.2,403273
AC120024.1,284131
AC120045.5,653073
AC120114.2,440356
AC125232.1,285074
AC126544.1,147081
AC128683.1,131873
AC130416.1,389151
AC130416.2,729627
AC130454.1,63928
AC130686.2,10609
AC131238.1,54621
AC132186.2,146227
AC132812.1,146880
AC133485.2,100289574
AC134312.1,400553
AC134982.1,403253
AC135050.2,339105
AC135178.1,100128288
AC135457.2,51237
AC135457.3,202051
AC135592.2,729956
AC135731.1,26082
AC135983.8,728047
AC135995.5,440295
AC136443.1,642778
AC136604.1,285679
AC136632.1,23138
AC138028.2,339059
AC138472.2,147710
AC138894.3,55911
AC138951.4,728411
AC139099.1,388574
AC139768.2,57228
AC140481.7,653781
AC141586.5,652276
AC144830.1,245940
AC145098.2,54540
AC147055.1,7366
AC152006.2,100287428
AC174470.1,348262
AC183087.2,440434
AC217771.1,162540
AC217773.2,644246
AC226150.1,647589
AC233723.1,100130311
ACAA1,30
ACAA2,10449
ACACA,31
ACACB,32
ACAD10,80724
ACAD11,84129
ACAD8,27034
ACAD9,28976
ACADL,33
ACADM,34
ACADS,35
ACADSB,36
ACADVL,37
ACAN,176
ACAP1,9744
ACAP2,23527
ACAP3,116983
ACAT1,38
ACAT2,39
ACBD3,64746
ACBD4,79777
ACBD5,91452
ACBD6,84320
ACBD7,414149
ACCN1,40
ACCN2,41
ACCN3,9311
ACCN4,55515
ACCN5,51802
ACCS,84680
ACCSL,390110
ACD,65057
ACE,1636
ACE2,59272
ACER1,125981
ACER2,340485
ACER3,55331
ACHE,43
ACIN1,22985
ACLY,47
ACMSD,130013
ACN9,57001
ACO1,48
ACO2,50
ACOT11,26027
ACOT12,134526
ACOT13,55856
ACOT2,10965
ACOT4,122970
ACOT6,641372
ACOT7,11332
ACOT8,10005
ACOT9,23597
ACOX1,51
ACOX2,8309
ACOX3,8310
ACOXL,55289
ACP1,52
ACP2,53
ACP5,54
ACP6,51205
ACPL2,92370
ACPP,55
ACPT,93650
ACR,49
ACRBP,84519
ACRC,93953
ACRV1,56
ACSBG1,23205
ACSBG2,81616
ACSF2,80221
ACSF3,197322
ACSL1,2180
ACSL3,2181
ACSL4,2182
ACSL5,51703
ACSL6,23305
ACSM1,116285
ACSM2,348158
ACSM2A,123876
ACSM3,6296
ACSM4,341392
ACSM5,54988
ACSS1,84532
ACSS2,55902
ACSS3,79611
ACTA1,58
ACTA2,59
ACTB,60
ACTBL2,345651
ACTC1,70
ACTG1,71
ACTG1P4,648740
ACTG2,72
ACTL6A,86
ACTL6B,51412
ACTL7A,10881
ACTL7B,10880
ACTL8,81569
ACTL9,284382
ACTN1,87
ACTN2,88
ACTN3,89
ACTN4,81
ACTR10,55860
ACTR1A,10121
ACTR1B,10120
ACTR2,10097
ACTR3,10096
ACTR3B,57180
ACTR3BP2,440888
ACTR5,79913
ACTR6,64431
ACTR8,93973
ACTRT1,139741
ACTRT2,140625
ACVR1,90
ACVR1B,91
ACVR1C,130399
ACVR2A,92
ACVR2B,93
ACVRL1,94
ACY1,95
ACY3,91703
ACYP1,97
ACYP2,98
AD000671.1,9757
ADA,100
ADAD1,132612
ADAD2,161931
ADAL,161823
ADAM10,102
ADAM11,4185
ADAM12,8038
ADAM15,8751
ADAM17,6868
ADAM18,8749
ADAM19,8728
ADAM2,2515
ADAM20,8748
ADAM21,8747
ADAM22,53616
ADAM23,8745
ADAM28,10863
ADAM29,11086
ADAM30,11085
ADAM32,203102
ADAM33,80332
ADAM5P,255926
ADAM6,8755
ADAM7,8756
ADAM8,101
ADAM9,8754
ADAMDEC1,27299
ADAMTS1,9510
ADAMTS10,81794
ADAMTS12,81792
ADAMTS13,11093
ADAMTS14,140766
ADAMTS15,170689
ADAMTS16,170690
ADAMTS17,170691
ADAMTS18,170692
ADAMTS19,171019
ADAMTS2,9509
ADAMTS20,80070
ADAMTS3,9508
ADAMTS4,9507
ADAMTS5,11096
ADAMTS6,11174
ADAMTS7,11173
ADAMTS8,11095
ADAMTS9,56999
ADAMTSL1,92949
ADAMTSL2,9719
ADAMTSL3,57188
ADAMTSL4,54507
ADAMTSL5,339366
ADAP1,11033
ADAP2,55803
ADAR,103
ADARB1,104
ADARB2,105
ADARB2-AS1,642394
ADAT1,23536
ADAT2,134637
ADAT3,113179
ADC,113451
ADCK1,57143
ADCK2,90956
ADCK4,79934
ADCK5,203054
ADCY1,107
ADCY10,55811
ADCY2,108
ADCY3,109
ADCY4,196883
ADCY5,111
ADCY6,112
ADCY7,113
ADCY8,114
ADCY9,115
ADCYAP1,116
ADCYAP1R1,117
ADD1,118
ADD2,119
ADD3,120
ADFP,123
ADH1B,125
ADH1C,126
ADH4,127
ADH5,128
ADH6,130
ADH7,131
ADHFE1,137872
ADI1,55256
ADIG,149685
ADIPOQ,9370
ADIPOR1,51094
ADIPOR2,79602
ADK,132
ADM,133
ADM2,79924
ADNP,23394
ADNP2,22850
ADO,84890
ADORA1,134
ADORA2A,135
ADORA2B,136
ADORA3,140
ADPGK,83440
ADPRH,141
ADPRHL1,113622
ADPRHL2,54936
ADRA1A,148
ADRA1B,147
ADRA1D,146
ADRA2A,150
ADRA2B,151
ADRA2C,152
ADRB1,153
ADRB2,154
ADRB3,155
ADRBK1,156
ADRBK2,157
ADRM1,11047
ADSL,158
ADSS,159
ADSSL1,122622
AEBP1,165
AEBP2,121536
AEN,64782
AES,166
AF205589.2,55630
AF205589.3,340393
AFAP1,60312
AFAP1-AS1,84740
AFAP1L1,134265
AFAP1L2,84632
AFF1,4299
AFF2,2334
AFF3,3899
AFF4,27125
AFG3L1P,172
AFG3L2,10939
AFM,173
AFMID,125061
AFP,174
AFTPH,54812
AGA,175
AGAP1,116987
AGAP11,119385
AGAP2,116986
AGAP3,116988
AGAP4,119016
AGBL1,123624
AGBL2,79841
AGBL3,340351
AGBL4,84871
AGBL5,60509
AGER,177
AGFG1,3267
AGFG2,3268
AGGF1,55109
AGK,55750
AGL,178
AGMAT,79814
AGPAT1,10554
AGPAT2,10555
AGPAT3,56894
AGPAT4,56895
AGPAT4-IT1,79992
AGPAT5,55326
AGPAT6,137964
AGPAT9,84803
AGPHD1,123688
AGPS,8540
AGR2,10551
AGR3,155465
AGRN,375790
AGRP,181
AGSK1,80154
AGT,183
AGTPBP1,23287
AGTR1,185
AGTR2,186
AGTRAP,57085
AGXT,189
AGXT2,64902
AGXT2L1,64850
AGXT2L2,85007
AHCTF1,25909
AHCY,191
AHCYL1,10768
AHCYL2,23382
AHDC1,27245
AHI1,54806
AHNAK,79026
AHNAK2,113146
AHR,196
AHSA1,10598
AHSA2,130872
AHSG,197
AICDA,57379
AIDA,64853
AIF1,199
AIF1L,83543
AIFM1,9131
AIFM2,84883
AIFM3,150209
AIG1,51390
AIM1,202
AIM1L,55057
AIM2,9447
AIMP1,9255
AIMP2,7965
AIP,9049
AIPL1,23746
AIRE,326
AJAP1,55966
AK1,203
AK2,204
AK3,50808
AK3L1,205
AK5,26289
AK7,122481
AKAP1,8165
AKAP10,11216
AKAP11,11215
AKAP12,9590
AKAP13,11214
AKAP14,158798
AKAP3,10566
AKAP4,8852
AKAP5,9495
AKAP6,9472
AKAP7,9465
AKAP8,10270
AKAP8L,26993
AKAP9,10142
AKD1,221264
AKIRIN1,79647
AKIRIN2,55122
AKIRIN2-AS1,55389
AKNA,80709
AKR1A1,10327
AKR1B1,231
AKR1B10,57016
AKR1C1,1645
AKR1C2,1646
AKR1C3,8644
AKR1C4,1109
AKR1CL1,340811
AKR1CL2,83592
AKR1D1,6718
AKR7A2,8574
AKR7A2P1,246182
AKR7A3,22977
AKR7L,246181
AKT1,207
AKT1S1,84335
AKT2,208
AKT3,10000
AKTIP,64400
AL023882.1,388199
AL033383.1,29044
AL080274.2,728450
AL096711.2,387104
AL109758.1,196913
AL109938.1,100507203
AL117209.1,9578
AL135932.1,140771
AL136139.1,405754
AL136419.1,55449
AL137229.4,51550
AL139377.1,100507135
AL161668.2,55701
AL355922.1,643332
AL355985.2,389763
AL355987.1,389813
AL358813.3,644634
AL359392.2,729420
AL589182.2,641455
AL589765.4,100191040
ALAD,210
ALAS1,211
ALAS2,212
ALB,213
ALCAM,214
ALDH16A1,126133
ALDH18A1,5832
ALDH1A1,216
ALDH1A2,8854
ALDH1A3,220
ALDH1B1,219
ALDH1L1,10840
ALDH1L2,160428
ALDH2,217
ALDH3A1,218
ALDH3A2,224
ALDH3B1,221
ALDH3B2,222
ALDH4A1,8659
ALDH5A1,7915
ALDH6A1,4329
ALDH7A1,501
ALDH8A1,64577
ALDH9A1,223
ALDOA,226
ALDOB,229
ALDOC,230
ALG1,56052
ALG10,84920
ALG10B,144245
ALG11,440138
ALG12,79087
ALG13,79868
ALG14,199857
ALG1L,200810
ALG1L2,644974
ALG2,85365
ALG3,10195
ALG5,29880
ALG6,29929
ALG8,79053
ALG9,79796
ALK,238
ALKBH1,8846
ALKBH2,121642
ALKBH3,221120
ALKBH4,54784
ALKBH5,54890
ALKBH6,84964
ALKBH7,84266
ALKBH8,91801
ALLC,55821
ALMS1,7840
ALMS1P,200420
ALOX12,239
ALOX12B,242
ALOX12P2,245
ALOX15,246
ALOX15B,247
ALOX5,240
ALOX5AP,241
ALOXE3,59344
ALPI,248
ALPK1,80216
ALPK2,115701
ALPK3,57538
ALPL,249
ALPP,250
ALPPL2,251
ALS2,57679
ALS2CL,259173
ALS2CR11,151254
ALS2CR12,130540
ALS2CR4,65062
ALS2CR8,79800
ALX1,8092
ALX3,257
ALX4,60529
AMAC1,146861
AMAC1L2,83650
AMACR,23600
AMBN,258
AMBP,259
AMBRA1,55626
AMD1,262
AMDHD1,144193
AMDHD2,51005
AMELX,265
AMELY,266
AMFR,267
AMH,268
AMHR2,269
AMICA1,120425
AMIGO1,57463
AMIGO2,347902
AMIGO3,386724
AMMECR1,9949
AMMECR1L,83607
AMN,81693
AMN1,196394
AMOT,154796
AMOTL1,154810
AMOTL2,51421
AMPD1,270
AMPD2,271
AMPD3,272
AMPH,273
AMT,275
AMTN,401138
AMY1B,277
AMY2A,279
AMZ1,155185
AMZ2,51321
AMZ2P1,201283
ANAPC1,64682
ANAPC10,10393
ANAPC11,51529
ANAPC13,25847
ANAPC1P1,100286979
ANAPC2,29882
ANAPC4,29945
ANAPC5,51433
ANAPC7,51434
ANG,283
ANGEL1,23357
ANGEL2,90806
ANGPT1,284
ANGPT2,285
ANGPT4,51378
ANGPTL1,9068
ANGPTL2,23452
ANGPTL3,27329
ANGPTL4,51129
ANGPTL5,253935
ANGPTL6,83854
ANGPTL7,10218
ANK1,286
ANK2,287
ANK3,288
ANKAR,150709
ANKDD1A,348094
ANKFN1,162282
ANKFY1,51479
ANKH,56172
ANKHD1,54882
ANKIB1,54467
ANKK1,255239
ANKLE1,126549
ANKLE2,23141
ANKMY1,51281
ANKMY2,57037
ANKRA2,57763
ANKRD1,27063
ANKRD10,55608
ANKRD11,29123
ANKRD12,23253
ANKRD13A,88455
ANKRD13B,124930
ANKRD13C,81573
ANKRD13D,338692
ANKRD16,54522
ANKRD17,26057
ANKRD18A,253650
ANKRD18B,441459
ANKRD19P,138649
ANKRD2,26287
ANKRD20A1,441425
ANKRD20A12P,100874392
ANKRD20A13P,100132733
ANKRD20A5P,440482
ANKRD20A7P,653436
ANKRD20A8P,729171
ANKRD20A9P,284232
ANKRD22,118932
ANKRD23,200539
ANKRD24,170961
ANKRD26,22852
ANKRD27,84079
ANKRD28,23243
ANKRD29,147463
ANKRD30A,91074
ANKRD30BP2,149992
ANKRD31,256006
ANKRD32,84250
ANKRD33,341405
ANKRD33B,651746
ANKRD34A,284615
ANKRD34B,340120
ANKRD34C,390616
ANKRD35,148741
ANKRD36,375248
ANKRD36B,57730
ANKRD36BL1,84832
ANKRD36BP2,645784
ANKRD36C,400986
ANKRD37,353322
ANKRD39,51239
ANKRD40,91369
ANKRD42,338699
ANKRD43,134548
ANKRD44,91526
ANKRD45,339416
ANKRD46,157567
ANKRD49,54851
ANKRD5,63926
ANKRD50,57182
ANKRD52,283373
ANKRD53,79998
ANKRD54,129138
ANKRD55,79722
ANKRD56,345079
ANKRD57,65124
ANKRD58,347454
ANKRD6,22881
ANKRD60,140731
ANKRD62,342850
ANKRD65,441869
ANKRD7,56311
ANKRD9,122416
ANKS1A,23294
ANKS1B,56899
ANKS3,124401
ANKS4B,257629
ANKS6,203286
ANKZF1,55139
ANLN,54443
ANO1,55107
ANO10,55129
ANO2,57101
ANO3,63982
ANO4,143662
ANO5,203859
ANO6,196527
ANO7,50636
ANO8,57719
ANO9,338440
ANP32A,8125
ANP32A-IT1,80035
ANP32AP1,723972
ANP32B,10541
ANP32BP1,646791
ANP32C,23520
ANP32D,23519
ANP32E,81611
ANPEP,290
ANTXR1,84168
ANTXR2,118429
ANUBL1,93550
ANXA1,301
ANXA10,11199
ANXA11,311
ANXA13,312
ANXA2,302
ANXA2P1,303
ANXA2P3,305
ANXA2R,389289
ANXA3,306
ANXA4,307
ANXA5,308
ANXA6,309
ANXA7,310
ANXA8,653145
ANXA9,8416
AOAH,313
AOC2,314
AOC3,8639
AOC4,90586
AOF1,221656
AOX1,316
AP000345.1,388882
AP000347.4,91316
AP000459.4,266917
AP000654.2,11098
AP000679.1,729173
AP000751.3,9743
AP000812.2,220074
AP000843.1,4978
AP000872.1,143872
AP000880.1,100288346
AP000911.1,100128239
AP000926.2,79827
AP001011.3,23347
AP001053.11,284837
AP001107.1,11041
AP001372.1,387787
AP001816.1,90024
AP001931.1,643376
AP002373.1,10179
AP002380.3,26070
AP002448.1,120376
AP003108.2,390205
AP003115.1,85453
AP003117.1,10404
AP003170.1,644672
AP003355.2,6788
AP003716.1,645332
AP004607.4,399940
AP005433.1,645369
AP005668.1,10963
AP006216.1,23387
AP006285.4,338651
AP1B1,162
AP1G1,164
AP1G2,8906
AP1GBP1,11276
AP1M1,8907
AP1M2,10053
AP1S1,1174
AP1S2,8905
AP1S3,130340
AP2A1,160
AP2A2,161
AP2B1,163
AP2M1,1173
AP2S1,1175
AP3B1,8546
AP3B2,8120
AP3D1,8943
AP3M1,26985
AP3M2,10947
AP3S1,1176
AP3S2,10239
AP4B1,10717
AP4E1,23431
AP4M1,9179
AP4S1,11154
AP5B1,91056
AP5Z1,9907
APAF1,317
APBA1,320
APBA2,321
APBA3,9546
APBB1,322
APBB1IP,54518
APBB2,323
APBB3,10307
APC,324
APC2,10297
APCDD1,147495
APCDD1L,164284
APCS,325
APEH,327
APEX1,328
APEX2,27301
APH1A,51107
APH1B,83464
API5L1,8539
APIP,51074
APITD1,378708
APLF,200558
APLN,8862
APLNR,187
APLP1,333
APLP2,334
APOA1,335
APOA1BP,128240
APOA2,336
APOA4,337
APOA5,116519
APOB,338
APOBEC1,339
APOBEC2,10930
APOBEC3A,200315
APOBEC3B,9582
APOBEC3C,27350
APOBEC3D,140564
APOBEC3F,200316
APOBEC3G,60489
APOBEC3H,164668
APOBEC4,403314
APOC1,341
APOC3,345
APOC4,346
APOD,347
APOE,348
APOF,319
APOH,350
APOL1,8542
APOL2,23780
APOL3,80833
APOL4,80832
APOL5,80831
APOL6,80830
APOLD1,81575
APOM,55937
APOO,79135
APOOL,139322
APOPT1,84334
APP,351
APPBP2,10513
APPL1,26060
APPL2,55198
APRT,353
APTX,54840
AQP1,358
AQP10,89872
AQP11,282679
AQP12A,375318
AQP2,359
AQP3,360
AQP4,361
AQP5,362
AQP6,363
AQP7,364
AQP7P1,375719
AQP7P2,389756
AQP8,343
AQP9,366
AQR,9716
AR,367
ARAF,369
ARAP1,116985
ARAP2,116984
ARAP3,64411
ARC,23237
ARCN1,372
AREG,374
ARF1,375
ARF3,377
ARF4,378
ARF5,381
ARF6,382
ARFGAP1,55738
ARFGAP2,84364
ARFGAP3,26286
ARFGEF1,10565
ARFGEF2,10564
ARFIP1,27236
ARFIP2,23647
ARFRP1,10139
ARG1,383
ARG2,384
ARGLU1,55082
ARHGAP1,392
ARHGAP10,79658
ARHGAP11A,9824
ARHGAP11B,89839
ARHGAP12,94134
ARHGAP15,55843
ARHGAP17,55114
ARHGAP18,93663
ARHGAP19,84986
ARHGAP20,57569
ARHGAP21,57584
ARHGAP22,58504
ARHGAP23,57636
ARHGAP24,83478
ARHGAP25,9938
ARHGAP26,23092
ARHGAP28,79822
ARHGAP29,9411
ARHGAP30,257106
ARHGAP4,393
ARHGAP5,394
ARHGAP6,395
ARHGAP8,23779
ARHGAP9,64333
ARHGDIA,396
ARHGDIB,397
ARHGDIG,398
ARHGEF1,9138
ARHGEF10,9639
ARHGEF10L,55160
ARHGEF11,9826
ARHGEF12,23365
ARHGEF15,22899
ARHGEF16,27237
ARHGEF17,9828
ARHGEF18,23370
ARHGEF19,128272
ARHGEF2,9181
ARHGEF3,50650
ARHGEF4,50649
ARHGEF5,7984
ARHGEF5L,445328
ARHGEF6,9459
ARHGEF7,8874
ARHGEF9,23229
ARID1A,8289
ARID1B,57492
ARID2,196528
ARID3A,1820
ARID3B,10620
ARID3C,138715
ARID4A,5926
ARID4B,51742
ARID5A,10865
ARID5B,84159
ARIH1,25820
ARIH2,10425
ARL1,400
ARL10,285598
ARL11,115761
ARL13A,392509
ARL13B,200894
ARL14,80117
ARL15,54622
ARL16,339231
ARL17P1,51326
ARL2,402
ARL2BP,23568
ARL3,403
ARL4A,10124
ARL4C,10123
ARL4D,379
ARL5A,26225
ARL5B,221079
ARL5C,390790
ARL6,84100
ARL6IP1,23204
ARL6IP4,51329
ARL6IP5,10550
ARL6IP6,151188
ARL8A,127829
ARL8B,55207
ARL9,132946
ARMC1,55156
ARMC10,83787
ARMC10P1,389137
ARMC2,84071
ARMC3,219681
ARMC4,55130
ARMC5,79798
ARMC6,93436
ARMC7,79637
ARMC8,25852
ARMC9,80210
ARMCX1,51309
ARMCX2,9823
ARMCX3,51566
ARMCX4,100131755
ARMCX5,64860
ARMCX6,54470
ARMET,7873
ARMS2,387715
ARNT,405
ARNT2,9915
ARNTL,406
ARNTL2,56938
ARPC1A,10552
ARPC2,10109
ARPC3,10094
ARPC3P3,729494
ARPC4,10093
ARPC5,10092
ARPC5L,81873
ARPP-21,10777
ARPP19,10776
ARR3,407
ARRB1,408
ARRB2,409
ARRDC1,92714
ARRDC2,27106
ARRDC3,57561
ARRDC4,91947
ARRDC5,645432
ARSA,410
ARSB,411
ARSD,414
ARSE,415
ARSF,416
ARSG,22901
ARSH,347527
ARSI,340075
ARSJ,79642
ARSK,153642
ART1,417
ART3,419
ART4,420
ART5,116969
ARTN,9048
ARV1,64801
ARVCF,421
ARVP6125,442092
ARX,170302
AS3MT,57412
ASAH1,427
ASAH2,56624
ASAH2C,653365
ASAP1,50807
ASAP1-IT1,29065
ASAP2,8853
ASAP3,55616
ASB1,51665
ASB10,136371
ASB11,140456
ASB12,142689
ASB13,79754
ASB14,142686
ASB15,142685
ASB16,92591
ASB17,127247
ASB18,401036
ASB2,51676
ASB3,51130
ASB4,51666
ASB5,140458
ASB6,140459
ASB7,140460
ASB8,140461
ASB9,140462
ASCC1,51008
ASCC2,84164
ASCC3,10973
ASCL1,429
ASCL2,430
ASCL3,56676
ASCL4,121549
ASCL5,647219
ASF1A,25842
ASF1B,55723
ASGR1,432
ASGR2,433
ASH1L,55870
ASH2L,9070
ASIP,434
ASL,435
ASMT,438
ASMTL,8623
ASMTL-AS1,80161
ASNA1,439
ASNS,440
ASNSD1,54529
ASPA,443
ASPDH,554235
ASPG,374569
ASPH,444
ASPHD1,253982
ASPHD2,57168
ASPM,259266
ASPN,54829
ASPRV1,151516
ASPSCR1,79058
ASRGL1,80150
ASS1,445
ASTE1,28990
ASTL,431705
ASTN1,460
ASTN2,23245
ASXL1,171023
ASXL2,55252
ASXL3,80816
ASZ1,136991
ATAD1,84896
ATAD2,29028
ATAD2B,54454
ATAD3A,55210
ATAD3B,83858
ATAD3C,219293
ATAD4,79170
ATAD5,79915
ATBF1,463
ATCAY,85300
ATE1,11101
ATF1,466
ATF2,1386
ATF3,467
ATF4,468
ATF5,22809
ATF6,22926
ATF7,11016
ATF7IP,55729
ATF7IP2,100287628
ATG10,83734
ATG12,9140
ATG13,9776
ATG16L1,55054
ATG16L2,89849
ATG2A,23130
ATG2B,55102
ATG3,64422
ATG4A,115201
ATG4B,23192
ATG4C,84938
ATG4D,84971
ATG5,9474
ATG7,10533
ATG9A,79065
ATG9B,285973
ATHL1,80162
ATIC,471
ATL1,51062
ATL2,64225
ATL3,25923
ATMIN,23300
ATN1,1822
ATOH1,474
ATOH7,220202
ATOH8,84913
ATOX1,475
ATP10A,57194
ATP10B,23120
ATP10D,57205
ATP11A,23250
ATP11B,23200
ATP11C,286410
ATP12A,479
ATP13A1,57130
ATP13A2,23400
